created_at,PM10_3,PM2.5_3,RH_3,Temperature_3
2020-09-17 19:15:00,18.88,15.37,83.38,27.73
2020-09-17 19:30:00,17.72,14.44,83.7,27.73
2020-09-17 19:45:00,16.96,15.01,82.46,28.03
2020-09-17 20:00:00,16.89,14.92,81.94,28.07
2020-09-17 20:15:00,17.12,15.28,81.38,28.07
2020-09-17 20:30:00,17.79,15.87,81.56,27.95
2020-09-17 20:45:00,15.81,13.94,81.4,27.87
2020-09-17 21:00:00,12.43,10.93,80.29,27.77
2020-09-17 21:15:00,11.01,9.7,79.79,27.73
2020-09-17 21:30:00,10.56,9.25,79.62,27.76
2020-09-17 21:45:00,10.49,9.17,79.42,27.75
2020-09-17 22:00:00,10.89,9.47,79.38,27.74
2020-09-17 22:15:00,11.45,9.98,79.41,27.74
2020-09-17 22:30:00,11.96,10.31,79.52,27.74
2020-09-17 22:45:00,13.41,11.64,79.6,27.72
2020-09-17 23:00:00,14.18,12.22,79.74,27.67
2020-09-17 23:15:00,14.73,12.94,79.91,27.68
2020-09-17 23:30:00,16.36,14.49,80.06,27.64
2020-09-17 23:45:00,17.13,15.06,80.18,27.59
2020-09-18 00:00:00,17.3,15.36,80.22,27.57
2020-09-18 00:15:00,17.35,15.38,80.34,27.51
2020-09-18 00:30:00,17.65,15.62,80.12,27.53
2020-09-18 00:45:00,18.22,15.95,80.22,27.5
2020-09-18 01:00:00,17.72,15.68,80.18,27.48
2020-09-18 01:15:00,17.29,15.14,79.96,27.47
2020-09-18 01:30:00,16.76,14.84,79.88,27.42
2020-09-18 01:45:00,16.32,14.36,79.72,27.37
2020-09-18 02:00:00,16.0,14.01,79.7,27.28
2020-09-18 02:15:00,15.41,13.67,79.71,27.26
2020-09-18 02:30:00,15.39,13.55,79.8,27.25
2020-09-18 02:45:00,15.15,13.23,79.7,27.26
2020-09-18 03:00:00,14.96,13.24,79.69,27.26
2020-09-18 03:15:00,15.07,13.33,79.67,27.29
2020-09-18 03:30:00,15.55,13.48,79.64,27.29
2020-09-18 03:45:00,15.74,13.68,79.7,27.28
2020-09-18 04:00:00,15.79,13.76,79.83,27.27
2020-09-18 04:15:00,16.61,14.49,80.0,27.25
2020-09-18 04:30:00,17.99,15.59,80.13,27.22
2020-09-18 04:45:00,18.76,16.2,80.17,27.2
2020-09-18 05:00:00,19.49,16.69,80.47,27.11
2020-09-18 05:15:00,19.13,16.23,80.55,27.11
2020-09-18 05:30:00,19.19,16.67,80.54,27.15
2020-09-18 05:45:00,19.48,16.5,80.59,27.17
2020-09-18 06:00:00,19.36,16.57,80.53,27.23
2020-09-18 06:15:00,20.52,16.97,80.39,27.3
2020-09-18 06:30:00,20.29,17.09,80.39,27.35
2020-09-18 06:45:00,20.62,17.79,80.74,27.31
2020-09-18 07:00:00,20.51,17.89,80.8,27.37
2020-09-18 07:15:00,20.13,17.36,80.49,27.49
2020-09-18 07:30:00,22.14,18.95,80.4,27.53
2020-09-18 07:45:00,21.93,18.73,80.34,27.6
2020-09-18 08:00:00,22.12,18.99,80.56,27.59
2020-09-18 08:15:00,23.82,20.81,80.77,27.59
2020-09-18 08:30:00,25.41,22.34,80.97,27.56
2020-09-18 08:45:00,26.91,23.74,81.27,27.52
2020-09-18 09:00:00,25.59,22.16,81.45,27.53
2020-09-18 09:15:00,23.24,20.45,81.32,27.61
2020-09-18 09:30:00,22.2,19.69,80.72,27.81
2020-09-18 09:45:00,15.12,12.86,78.95,28.08
2020-09-18 10:00:00,14.17,12.36,78.37,28.33
2020-09-18 10:15:00,14.35,12.67,78.14,28.49
2020-09-18 10:30:00,13.85,12.43,78.06,28.55
2020-09-18 10:45:00,14.69,12.79,78.1,28.48
2020-09-18 11:30:00,24.37,20.16,76.79,24.41
2020-09-18 11:45:00,26.53,21.48,81.02,27.93
2020-09-18 12:00:00,25.97,21.95,80.71,28.12
2020-09-18 12:15:00,24.65,21.69,80.42,28.31
2020-09-18 12:30:00,25.29,22.14,80.51,28.34
2020-09-18 13:15:00,25.84,23.01,77.81,29.16
2020-09-18 13:30:00,23.33,20.77,78.55,28.9
2020-09-18 13:45:00,21.95,19.61,81.67,28.06
2020-09-18 14:00:00,21.93,19.41,82.23,27.87
2020-09-18 14:15:00,24.8,21.7,81.88,27.91
2020-09-18 14:30:00,26.78,23.9,80.62,28.11
2020-09-18 14:45:00,25.93,23.27,81.17,27.98
2020-09-18 15:00:00,23.56,21.1,81.54,27.92
2020-09-18 15:15:00,20.64,18.48,81.7,27.9
2020-09-18 15:30:00,17.92,16.06,81.99,27.91
2020-09-18 15:45:00,15.6,13.74,82.24,27.94
2020-09-18 16:00:00,13.92,12.11,82.02,27.99
2020-09-18 16:15:00,12.67,10.58,80.03,28.48
2020-09-18 16:30:00,12.08,9.94,79.8,28.51
2020-09-18 16:45:00,12.8,9.86,79.36,28.51
2020-09-18 17:00:00,13.56,10.04,75.94,26.01
2020-09-18 17:15:00,12.31,10.03,79.08,28.37
2020-09-18 17:30:00,10.17,7.9,78.84,27.95
2020-09-18 17:45:00,9.83,6.62,78.77,27.65
2020-09-18 18:00:00,10.18,6.64,78.17,27.94
2020-09-18 18:15:00,10.42,7.08,78.23,27.87
2020-09-18 18:30:00,11.42,8.36,79.87,27.58
2020-09-18 18:45:00,10.16,7.41,81.43,27.65
2020-09-18 19:00:00,10.35,7.51,80.94,28.07
2020-09-18 19:15:00,11.15,7.0,80.02,28.15
2020-09-18 19:30:00,9.5,6.81,79.67,28.13
2020-09-18 19:45:00,8.49,6.66,79.46,28.17
2020-09-18 20:00:00,7.71,5.96,79.29,28.21
2020-09-18 20:15:00,8.13,6.14,79.26,28.26
