created_at,pm25_air,pm10_air,co_air,no2_air
27-12-2020 09:00,181.5,312,2,48.535
27-12-2020 10:00,156,246.5,2,48.44
27-12-2020 11:00,130,195.5,2,49.22
27-12-2020 12:00,121.5,179.5,2,47.15
27-12-2020 13:00,90.5,128.5,2,43.35
27-12-2020 14:00,66.5,101,1.5,36.46
27-12-2020 15:00,53.5,88,2,31.19
27-12-2020 16:00,52.5,88,2,37.475
27-12-2020 17:00,52,92,2,44.49
27-12-2020 18:00,58,113.5,2,49.175
27-12-2020 19:00,64,117,2,51.1
27-12-2020 20:00,74.5,130.5,2,53.755
27-12-2020 21:00,77.5,127.5,2,52.535
27-12-2020 22:00,77.5,124.5,2,52.55
27-12-2020 23:00,79.5,124,2,51.97
28-12-2020 00:00,82.5,121.5,2,51.19
28-12-2020 01:00,92,131.5,2,50.335
28-12-2020 02:00,107,154,2,50.09
28-12-2020 03:00,122,187,2,50.57
28-12-2020 04:00,121,184,2,49.83
28-12-2020 05:00,125,192.5,2,49.495
28-12-2020 06:00,132.5,210,2,48.535
28-12-2020 07:00,146.5,242,2,49.155
28-12-2020 08:00,156.5,261,2,49.27
28-12-2020 09:00,158,265,2,48.875
28-12-2020 10:00,137.5,212,2,47.81
28-12-2020 11:00,115,170.5,2,48.335
28-12-2020 12:00,109.5,165,2,46.625
28-12-2020 13:00,80,113.5,1.5,42.22
28-12-2020 14:00,72.5,107.5,2,41.4
28-12-2020 15:00,70.5,105.5,2,40.405
28-12-2020 16:00,73,107,1,45.24
28-12-2020 17:00,79.5,115.5,2,48.635
28-12-2020 18:00,88,125.5,2,51.36
28-12-2020 19:00,97.5,147.5,2,53.035
28-12-2020 20:00,109.5,170.5,2.5,53.895
28-12-2020 21:00,110,162,2,52.45
28-12-2020 22:00,115,174.5,2,51.325
28-12-2020 23:00,122.5,193,2,51.025
29-12-2020 00:00,124.5,197.5,2,50.405
29-12-2020 01:00,126,201,2,50.575
29-12-2020 02:00,128.5,205,2,49.75
29-12-2020 03:00,125,198,2,48.95
29-12-2020 04:00,124,193.5,2,48.465
29-12-2020 05:00,128,201,2,48.05
29-12-2020 06:00,137,218,2,47.59
29-12-2020 07:00,144,233,2,47.03
29-12-2020 08:00,148.5,245,2,46.295
29-12-2020 09:00,144.5,235,2,46.645
29-12-2020 10:00,130,204,2,47.88
29-12-2020 11:00,109,158,2,47.565
29-12-2020 12:00,94.5,129.5,2,45.585
29-12-2020 13:00,94.5,130,2,43.83
29-12-2020 14:00,90,124,2,43.55
29-12-2020 15:00,88.5,121,2,44.365
29-12-2020 16:00,90.5,123.5,2,46.49
29-12-2020 17:00,91.5,126,2,49.24
29-12-2020 18:00,93.5,131,2,51.105
29-12-2020 19:00,104,174,2,52.68
29-12-2020 20:00,132.5,298,2,51.595
29-12-2020 21:00,136.5,308.5,2,51.44
29-12-2020 22:00,146.5,333,2,49.715
29-12-2020 23:00,146.5,331.5,2,48.78
30-12-2020 00:00,159,363,2,49.39
30-12-2020 01:00,159,354,2,48.84
30-12-2020 02:00,159,353,2,49.35
30-12-2020 03:00,158,355,2,48.785
30-12-2020 04:00,175.5,391.5,2,48.285
30-12-2020 05:00,182,394.5,2,45.935
30-12-2020 06:00,204,409.5,2,44.9
30-12-2020 07:00,239,432.5,2,44.82
30-12-2020 08:00,226.5,427,2,44.635
30-12-2020 09:00,189,397.5,2,45.005
30-12-2020 10:00,145.5,304.5,2,45.795
30-12-2020 11:00,131.5,271,2,48.84
30-12-2020 12:00,122.5,251.5,2,47.22
30-12-2020 13:00,110.5,207.5,2,45.98
30-12-2020 14:00,97.5,160.5,2,41.565
30-12-2020 15:00,91,147.5,1.5,40.48
30-12-2020 16:00,91.5,149,2,44.91
30-12-2020 17:00,95.5,157,2,48.055
30-12-2020 18:00,110,209.5,2,50.77
30-12-2020 19:00,126,270,2,51.88
30-12-2020 20:00,130.5,280,2,52.31
30-12-2020 21:00,151.5,316,2,51.055
30-12-2020 22:00,166,346,2,50.27
30-12-2020 23:00,161.5,337.5,2,49.93
31-12-2020 00:00,155,321,2,49.315
31-12-2020 01:00,166,349.5,2,50.23
31-12-2020 02:00,185,394,2,48.665
31-12-2020 03:00,190,397.5,2,47.605
31-12-2020 04:00,205,408.5,2,44.93
31-12-2020 05:00,205,410,2,43.775
31-12-2020 06:00,184,393.5,2,41.025
31-12-2020 07:00,170,368,2,42.665
31-12-2020 08:00,175,381.5,2,43.505
31-12-2020 09:00,163.5,353,2,43.995
31-12-2020 10:00,153,324,2,48.88
31-12-2020 11:00,156,322.5,2,47.855
31-12-2020 12:00,135.5,267.5,2,47.38
31-12-2020 13:00,124.5,250,2,46.53
31-12-2020 14:00,122,232.5,2,46.66
31-12-2020 15:00,115,215,2,46.695
31-12-2020 16:00,111.5,201.5,2,47.56
31-12-2020 17:00,111,200.5,2,49.395
31-12-2020 18:00,117.5,230,2,50.895
31-12-2020 19:00,135,278.5,2,51.81
31-12-2020 20:00,153,324,2,51.445
31-12-2020 21:00,171,357,2,51.47
31-12-2020 22:00,180,378.5,2,49.835
31-12-2020 23:00,183.5,389.5,2,50.57
01-01-2021 00:00,198.5,403.5,2,48.95
01-01-2021 01:00,215,413,2,46.41
