created_at,pm25_air,pm10_air,co_air,no2_air
08-12-2020 03:00,75.5,112,2,48.67
08-12-2020 04:00,82,115,2,48.715
08-12-2020 05:00,96,134.5,2,48.685
08-12-2020 06:00,90,124.5,2,47.65
08-12-2020 07:00,87.5,123,2,45.64
08-12-2020 08:00,92,130.5,2,43.59
08-12-2020 09:00,90.5,134,2,43.48
08-12-2020 10:00,72.5,111.5,2,47.7
08-12-2020 11:00,52,88,2,45.785
08-12-2020 12:00,37.5,72,2,33.685
08-12-2020 13:00,25.5,55.5,2,26.755
08-12-2020 14:00,22.5,48.5,2,29.045
08-12-2020 15:00,22.5,46.5,1.5,23.775
08-12-2020 16:00,25.5,51.5,1,33.65
08-12-2020 17:00,28,58.5,1.5,41.655
08-12-2020 18:00,26,60,2,48.535
08-12-2020 19:00,32,75,2,51.37
08-12-2020 20:00,36,84,2,53.615
08-12-2020 21:00,43,90.5,2,50.21
08-12-2020 22:00,52,103.5,2,50.5
08-12-2020 23:00,56,108.5,2,51.04
09-12-2020 00:00,58.5,112.5,2,51.475
09-12-2020 01:00,60,112,2.5,51.835
09-12-2020 02:00,58.5,108.5,2,51.165
09-12-2020 03:00,71.5,124.5,2,51.205
09-12-2020 04:00,89,142,2,51.14
09-12-2020 05:00,79.5,128,2,50.585
09-12-2020 06:00,71.5,118,2,49.31
09-12-2020 07:00,71.5,118,2,49.135
09-12-2020 08:00,80.5,128,2,49.1
09-12-2020 09:00,73,118.5,2,48.4
09-12-2020 10:00,55,97,2,47.35
09-12-2020 11:00,44.5,83,2,45.01
09-12-2020 12:00,28.5,60.5,2,40.9
09-12-2020 13:00,31.5,68.5,2,37.695
09-12-2020 14:00,25.5,54.5,2,33.195
09-12-2020 15:00,28.5,59.5,2,37.015
09-12-2020 16:00,30,61.5,2,38.485
09-12-2020 17:00,32,66.5,1,43.71
09-12-2020 18:00,36,81.5,2,49.175
09-12-2020 19:00,45.5,91,2,52.37
09-12-2020 20:00,42,87,2,52.86
09-12-2020 21:00,45.5,91.5,2.5,52.525
09-12-2020 22:00,51.5,103,2,53.57
09-12-2020 23:00,52,103,2,52.71
10-12-2020 00:00,51.5,100.5,2,51.115
10-12-2020 01:00,54,102,2,50.075
10-12-2020 02:00,56,106.5,2,50.765
10-12-2020 03:00,56,106,2,50.485
10-12-2020 04:00,60,113,2,50.675
