,Unnamed: 0,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10,lc2_pm10,lc2_pm25,lc3_pm10,lc3_pm25
62,65,2020-11-04 22:00:00,73.0,123.0,75.0,161.0,52.7,47.3,151.2,79.9
63,66,2020-11-04 23:00:00,75.0,124.0,87.0,185.0,55.2,49.3,163.1,85.6
64,67,2020-11-05 00:00:00,74.0,130.0,84.0,183.0,54.9,48.9,164.6,88.4
65,68,2020-11-05 01:00:00,72.0,125.0,78.0,184.0,54.7,48.2,145.3,86.6
66,69,2020-11-05 02:00:00,70.0,117.0,77.0,156.0,51.6,46.0,143.4,76.4
67,70,2020-11-05 03:00:00,70.0,120.0,70.0,140.0,49.7,44.4,134.3,78.2
68,71,2020-11-05 04:00:00,68.0,119.0,70.0,124.0,47.2,42.2,129.3,76.1
69,72,2020-11-05 05:00:00,77.0,125.0,78.0,155.0,51.8,46.1,156.2,101.9
70,73,2020-11-05 06:00:00,77.0,121.0,74.0,169.0,55.4,49.5,153.8,101.2
71,74,2020-11-05 07:00:00,71.0,118.0,75.0,154.0,47.3,42.1,138.7,87.3
72,75,2020-11-05 08:00:00,64.0,116.0,64.0,160.0,48.5,39.1,129.2,73.8
73,76,2020-11-05 09:00:00,58.0,109.0,73.0,183.0,35.2,31.5,124.2,98.4
74,77,2020-11-05 10:00:00,42.0,78.0,46.0,116.0,26.0,23.5,114.3,102.7
75,78,2020-11-05 13:00:00,44.0,82.0,38.0,97.0,25.8,23.5,87.3,78.1
76,79,2020-11-05 14:00:00,45.0,83.0,40.0,99.0,24.7,22.2,96.2,86.2
77,80,2020-11-05 15:00:00,44.0,80.0,43.0,90.0,25.6,23.1,97.1,87.9
78,81,2020-11-05 16:00:00,47.0,84.0,38.0,99.0,26.4,23.7,337.6,307.5
79,82,2020-11-05 17:00:00,46.0,84.0,53.0,120.0,27.7,24.9,71.9,37.5
80,83,2020-11-05 21:00:00,53.0,101.0,69.0,176.0,34.0,30.3,99.4,47.6
81,84,2020-11-05 22:00:00,56.0,110.0,68.0,156.0,37.0,32.9,104.3,50.4
82,85,2020-11-05 23:00:00,57.0,108.0,61.0,145.0,41.9,36.0,357.2,322.5
83,86,2020-11-06 00:00:00,56.0,105.0,67.0,149.0,38.1,33.0,404.9,367.6
84,88,2020-11-06 03:00:00,58.0,101.0,61.0,127.0,39.5,35.4,531.5,483.6
85,89,2020-11-06 04:00:00,58.0,110.0,58.0,128.0,0.0,0.0,424.9,384.7
86,90,2020-11-06 05:00:00,52.0,95.0,61.0,122.0,32.8,29.3,449.4,408.9
87,91,2020-11-06 06:00:00,52.0,94.0,54.0,120.0,32.8,29.5,518.1,468.2
88,92,2020-11-06 07:00:00,54.0,97.0,54.0,115.0,31.9,28.7,478.7,428.1
89,93,2020-11-06 08:00:00,55.0,107.0,60.0,139.0,41.5,30.1,485.0,434.7
90,94,2020-11-06 09:00:00,50.0,99.0,60.0,159.0,34.6,30.4,507.2,405.3
91,95,2020-11-06 10:00:00,57.0,101.0,59.0,153.0,36.9,32.9,333.8,302.2
92,96,2020-11-06 11:00:00,59.0,101.0,60.0,139.0,41.7,37.8,351.8,315.8
93,98,2020-11-06 13:00:00,73.0,107.0,69.0,137.0,52.4,48.0,444.6,396.6
94,99,2020-11-06 14:00:00,82.0,112.0,65.0,128.0,58.3,53.5,121.1,88.4
95,100,2020-11-06 17:00:00,86.0,114.0,68.0,123.0,59.8,54.8,399.7,364.5
96,102,2020-11-06 20:00:00,97.0,136.0,85.0,170.0,73.4,66.7,373.6,336.3
97,103,2020-11-06 21:00:00,103.0,141.0,86.0,170.0,83.8,76.6,383.2,346.0
98,104,2020-11-06 22:00:00,107.0,141.0,79.0,175.0,90.3,82.6,427.0,384.3
99,105,2020-11-07 00:00:00,111.0,155.0,77.0,162.0,90.7,83.1,356.5,322.0
100,106,2020-11-07 01:00:00,112.0,153.0,86.0,159.0,91.7,84.4,408.2,370.2
101,107,2020-11-07 02:00:00,116.0,160.0,87.0,154.0,96.7,88.7,397.5,357.8
102,108,2020-11-07 03:00:00,111.0,146.0,72.0,149.0,83.0,76.5,414.2,372.4
103,109,2020-11-07 04:00:00,106.0,140.0,85.0,144.0,78.8,72.6,287.3,259.2
