created_at,PM2.5,PM10,NO2,CO,Ozone,Temp,RH,WS
05-10-2020 05:00,38.75,81,21.98,0.23,23.25,29.75,84,0.35
05-10-2020 06:00,35,71.25,19,0.21,20.85,29.7,85,0.32
05-10-2020 07:00,35,67.25,18.4,0.23,18.57,29.67,86,0.35
05-10-2020 08:00,35.75,64.75,18.27,0.23,25.8,29.58,82,0.6
05-10-2020 09:00,38.75,75.25,19.73,0.32,36.72,29.5,74.25,1.5
05-10-2020 10:00,40.75,85,21.8,0.32,43.6,29.65,70.25,1.8
05-10-2020 11:00,38.25,93,20.05,0.34,47,30.27,66.5,1.98
05-10-2020 12:00,34.5,89.75,22.2,0.31,49.12,30.5,64.25,2.35
05-10-2020 13:00,39,89,30.3,0.27,59.77,30.45,59.25,2.8
05-10-2020 14:00,33,82.25,32.58,0.97,59.1,30.6,57.75,2.9
05-10-2020 15:00,36.5,85.25,16.15,0.36,57.35,30.18,57.5,2.92
05-10-2020 16:00,37.5,92.25,17.55,0.34,55.75,29.62,59.25,2.45
05-10-2020 17:00,36.25,91.75,20.88,0.32,52.47,29.58,58.5,2.5
05-10-2020 18:00,37.25,91.25,22,0.36,53.88,29.65,61,1.75
05-10-2020 19:00,39.25,102.75,28.65,0.51,43.62,29.7,66,0.4
05-10-2020 20:00,44,110.25,35.52,0.71,29.05,29.65,70,0.3
05-10-2020 21:00,46.75,116.25,32.42,0.73,24.65,29.67,73.5,0.3
05-10-2020 22:00,44.75,107.75,29.12,0.63,17.6,29.65,76.5,0.3
05-10-2020 23:00,44.5,93.75,28.52,0.61,12.07,29.62,79.5,0.3
06-10-2020 00:00,55.5,109.5,26.97,0.59,8.05,29.6,81,0.3
06-10-2020 01:00,55,110,24.4,0.53,6.58,29.6,82.5,0.3
06-10-2020 02:00,52.5,102.25,25,0.47,8.45,29.6,83.75,0.3
06-10-2020 03:00,61.25,113.5,25.7,0.45,9.5,29.62,84,0.3
06-10-2020 04:00,54.25,105.25,22.35,0.41,13.5,29.92,82.75,0.3
06-10-2020 05:00,49,96.75,22.85,0.44,13.55,29.6,80.5,0.3
06-10-2020 06:00,50.75,109.25,25.73,0.46,15.05,29.52,80,0.3
06-10-2020 07:00,55.25,118.75,26.02,0.49,17.6,29.52,80,0.3
06-10-2020 08:00,52.5,111.75,27.55,0.46,24.95,29.52,77.5,1
06-10-2020 09:00,49,116.25,24.05,0.31,36.9,29.5,71.75,1.98
06-10-2020 10:00,43,102.25,20.58,0.28,43.25,29.45,67.5,2.77
06-10-2020 11:00,41.75,94.75,20.6,0.27,50.58,29.75,61,2.68
06-10-2020 12:00,38.75,97.75,21.4,0.25,57.1,29.85,56,2.65
06-10-2020 13:00,41.75,98.25,17.8,0.3,62,29.88,55.75,2.6
06-10-2020 14:00,44.75,94.75,20.57,0.26,61.2,29.5,56.5,2.4
06-10-2020 15:00,45.25,98.75,21.88,0.27,59.62,29.5,55.25,2.53
06-10-2020 16:00,39.75,95.5,22.05,0.25,58.65,29.58,55.5,2.15
06-10-2020 17:00,40.5,96,22.1,0.26,59.65,29.67,57,1.72
06-10-2020 18:00,43.75,94.25,31.6,0.34,52.58,29.77,60.25,0.77
06-10-2020 19:00,41,101.25,38.45,0.41,47.55,29.6,61.75,1.05
06-10-2020 20:00,45.75,111,37.67,0.43,46.08,29.67,61,0.62
06-10-2020 21:00,51,111.25,37.95,0.52,41.12,29.6,64,0.32
06-10-2020 22:00,52.25,112.25,33.48,0.53,37.78,29.6,66.5,0.3
06-10-2020 23:00,54.25,111.25,36.4,0.52,27.8,29.6,68.75,0.3
07-10-2020 00:00,48.5,105.5,38.8,0.45,29.83,29.62,67.5,0.3
07-10-2020 01:00,49,104.5,32,0.36,29.97,29.6,71.25,0.3
07-10-2020 02:00,54.5,105,26.98,0.35,28.23,29.6,74.25,0.3
07-10-2020 03:00,53.25,102.75,25.85,0.34,21.85,29.65,76.75,0.3
07-10-2020 04:00,57,111.5,27.18,0.36,20.32,29.97,78.25,0.3
07-10-2020 05:00,67.5,134.75,28.02,0.43,15.25,29.65,80,0.3
07-10-2020 06:00,71.25,141.5,27.95,0.45,15.72,29.58,79.25,0.3
07-10-2020 07:00,69,129.75,25.88,0.43,21.6,29.58,75.75,0.3
07-10-2020 08:00,70,142.5,34.23,0.51,18.6,29.52,72,0.3
07-10-2020 09:00,71.5,162.25,32.38,0.56,21.75,29.52,72.75,0.3
07-10-2020 10:00,64.75,148.75,27.32,0.55,30.27,29.6,69.75,0.32
07-10-2020 11:00,55,127,26.32,0.48,37.7,30.02,68,0.5
07-10-2020 12:00,48.5,115.25,29.8,0.52,40.73,30.45,68.25,1.05
07-10-2020 13:00,54.5,126.5,21.32,0.57,44.4,30.83,70,1.65
07-10-2020 14:00,58,107.25,19.38,0.56,47.05,30.7,71.5,2.17
07-10-2020 15:00,79.25,123.5,20.7,0.56,47.5,30.62,73,2.2
07-10-2020 16:00,70.25,132.25,20.38,0.55,57.58,30.22,71,2.5
07-10-2020 17:00,66.5,99,22.12,0.49,59.8,30.1,71.5,1.5
07-10-2020 18:00,61.5,96.75,26.3,0.55,53,30.12,72.75,0.9
07-10-2020 19:00,59.5,98,26.92,0.55,55.1,30.17,73.5,1.25
07-10-2020 20:00,57.75,97.5,28.07,0.64,50.27,30.2,76,0.95
07-10-2020 21:00,57,101,29.5,0.59,43.8,30.17,78.25,0.85
07-10-2020 22:00,56.5,90.5,26.77,0.53,42.8,30.2,81.25,0.8
07-10-2020 23:00,54.75,92.5,26.43,0.5,40.53,30.2,82.75,0.68
08-10-2020 00:00,53.75,82.75,25.77,0.43,39.85,30.17,83.25,0.38
08-10-2020 01:00,53,76,25.08,0.37,31.6,30.2,83.75,0.3
08-10-2020 02:00,54.5,77.5,25,0.36,23.8,30.33,84.75,0.3
08-10-2020 03:00,59,84.75,26.75,0.38,18.1,30.25,86,0.3
08-10-2020 04:00,58.5,95,27.23,0.41,18.2,30.57,86,0.3
08-10-2020 05:00,57,99,26.5,0.46,17.75,30.27,86,0.3
08-10-2020 06:00,58.25,91.5,27.2,0.48,11.23,30.3,86,0.3
08-10-2020 07:00,60.5,88,32.23,0.47,9.93,30.3,86,0.3
08-10-2020 08:00,58.75,96.5,30.5,0.54,19.02,30.27,83.75,0.4
08-10-2020 09:00,65.25,115.25,28.53,0.53,39.83,30.17,75.25,1.15
08-10-2020 10:00,61,121.5,28.25,0.49,53.35,30.25,70.75,1.05
08-10-2020 11:00,60.75,117,25.5,0.44,55.08,30.57,64.5,0.4
08-10-2020 12:00,49.75,103.5,23.55,0.36,59.15,30.62,61.75,0.38
08-10-2020 13:00,45.5,89.5,21.5,0.4,60.4,30.65,62.25,0.58
08-10-2020 14:00,41.75,84.25,22.8,0.35,51.75,30.23,63,0.38
08-10-2020 15:00,35.25,74.75,23.93,0.34,44.52,30.05,63.25,1.25
08-10-2020 16:00,37.75,82.25,25.45,0.34,41.65,30.15,64.5,1.12
08-10-2020 17:00,43.25,91.75,29,0.44,40.85,30.23,67.75,1.15
08-10-2020 18:00,46.75,101.5,31.77,0.5,34.1,30.3,70,0.53
08-10-2020 19:00,52.75,104,34.47,0.59,26.2,30.2,72.75,0.8
08-10-2020 20:00,47,98.25,36.35,0.71,20.77,30.17,74.5,0.47
08-10-2020 21:00,52.5,98.25,34.6,0.78,16.42,30.12,77.5,0.3
08-10-2020 22:00,58.5,96,36,0.89,8.8,30.12,80.5,0.3
08-10-2020 23:00,55.75,94.5,34.73,0.93,7.92,30.23,82.25,0.3
09-10-2020 00:00,59.75,90.75,35.75,0.89,3.28,30.25,84,0.3
09-10-2020 01:00,57.75,93.25,34.25,0.76,3.45,30.23,85,0.3
09-10-2020 02:00,62.25,92.25,30.48,0.58,5.42,30.15,85.25,0.3
09-10-2020 03:00,59.25,86.25,27.45,0.4,12.7,30.18,85.25,0.3
09-10-2020 04:00,57.25,86.25,28.23,0.37,3.25,30.55,86,0.3
