,created_at,air_pm25,air_pm10,cpcb_pm25,cpcb_pm10
102,2020-11-02 11:45:00,68.0,103.0,69.0,155.0
103,2020-11-02 13:00:00,61.0,93.0,72.0,134.0
104,2020-11-02 13:15:00,60.0,99.0,72.0,134.0
105,2020-11-02 14:30:00,48.0,78.0,55.0,106.0
106,2020-11-02 14:45:00,52.0,90.0,55.0,99.0
107,2020-11-02 15:30:00,55.0,90.0,55.0,99.0
108,2020-11-02 15:45:00,54.0,87.0,62.0,113.0
109,2020-11-02 16:00:00,53.0,86.0,62.0,113.0
110,2020-11-02 16:15:00,53.0,86.0,62.0,113.0
111,2020-11-02 16:30:00,54.0,92.0,62.0,113.0
112,2020-11-02 16:45:00,57.0,92.0,61.0,125.0
113,2020-11-02 17:30:00,62.0,101.0,61.0,125.0
114,2020-11-02 17:45:00,66.0,98.0,71.0,152.0
115,2020-11-02 18:30:00,211.0,114.0,71.0,152.0
116,2020-11-02 19:00:00,84.0,125.0,86.0,176.0
117,2020-11-02 19:15:00,85.0,124.0,86.0,176.0
118,2020-11-02 19:30:00,85.0,125.0,86.0,176.0
119,2020-11-02 19:45:00,89.0,127.0,78.0,177.0
120,2020-11-02 20:00:00,88.0,123.0,78.0,177.0
121,2020-11-02 20:30:00,91.0,129.0,78.0,177.0
122,2020-11-02 20:45:00,94.0,130.0,77.0,184.0
123,2020-11-02 21:00:00,92.0,130.0,77.0,184.0
124,2020-11-02 21:30:00,89.0,125.0,77.0,184.0
125,2020-11-02 21:45:00,86.0,124.0,83.0,180.0
126,2020-11-02 22:00:00,83.0,125.0,83.0,180.0
127,2020-11-02 22:15:00,82.0,118.0,83.0,180.0
128,2020-11-02 22:45:00,78.0,119.0,79.0,166.0
129,2020-11-02 23:15:00,81.0,118.0,79.0,166.0
130,2020-11-02 23:30:00,88.0,125.0,79.0,166.0
131,2020-11-02 23:45:00,88.0,122.0,86.0,178.0
132,2020-11-03 00:00:00,91.0,130.0,86.0,178.0
133,2020-11-03 00:15:00,91.0,123.0,86.0,178.0
134,2020-11-03 00:30:00,91.0,126.0,86.0,178.0
135,2020-11-03 01:00:00,92.0,134.0,77.0,180.0
136,2020-11-03 01:15:00,92.0,131.0,77.0,180.0
137,2020-11-03 01:30:00,92.0,130.0,77.0,180.0
138,2020-11-03 01:45:00,91.0,132.0,83.0,173.0
139,2020-11-03 02:00:00,91.0,129.0,83.0,173.0
140,2020-11-03 02:15:00,92.0,130.0,83.0,173.0
141,2020-11-03 02:30:00,94.0,128.0,83.0,173.0
142,2020-11-03 02:45:00,95.0,128.0,81.0,149.0
143,2020-11-03 03:00:00,97.0,132.0,81.0,149.0
144,2020-11-03 03:15:00,98.0,135.0,81.0,149.0
145,2020-11-03 03:45:00,102.0,144.0,82.0,163.0
146,2020-11-03 04:00:00,103.0,140.0,82.0,163.0
147,2020-11-03 04:15:00,102.0,137.0,82.0,163.0
148,2020-11-03 04:45:00,99.0,137.0,75.0,156.0
149,2020-11-03 05:00:00,95.0,134.0,75.0,156.0
150,2020-11-03 05:15:00,97.0,134.0,75.0,156.0
151,2020-11-03 05:30:00,99.0,133.0,75.0,156.0
152,2020-11-03 05:45:00,100.0,147.0,86.0,160.0
153,2020-11-03 06:00:00,98.0,135.0,86.0,160.0
154,2020-11-03 06:15:00,116.5,174.0,86.0,160.0
155,2020-11-03 06:45:00,136.0,213.0,85.0,185.0
156,2020-11-03 07:15:00,130.0,204.0,85.0,185.0
157,2020-11-03 07:30:00,130.0,198.0,85.0,185.0
158,2020-11-03 07:45:00,126.0,196.0,79.0,176.0
159,2020-11-03 08:00:00,119.0,176.0,79.0,176.0
160,2020-11-03 08:30:00,116.5,179.5,79.0,176.0
161,2020-11-03 08:45:00,115.0,184.0,74.0,188.0
162,2020-11-03 09:15:00,110.0,167.0,74.0,188.0
163,2020-11-03 09:30:00,108.0,168.0,74.0,188.0
164,2020-11-03 09:45:00,94.0,138.0,85.0,172.0
165,2020-11-03 10:15:00,92.0,135.0,85.0,172.0
166,2020-11-03 10:30:00,92.0,138.0,85.0,172.0
167,2020-11-03 10:45:00,92.0,137.0,76.0,174.0
168,2020-11-03 11:00:00,91.0,128.0,76.0,174.0
169,2020-11-03 11:30:00,84.0,116.0,76.0,174.0
170,2020-11-03 11:45:00,86.0,116.0,84.0,176.0
171,2020-11-03 12:00:00,79.0,114.0,84.0,176.0
172,2020-11-03 12:15:00,77.0,110.0,84.0,176.0
173,2020-11-03 12:45:00,74.0,107.0,78.0,147.0
174,2020-11-03 14:00:00,77.0,107.0,78.0,141.0
175,2020-11-03 14:15:00,71.0,102.0,78.0,141.0
176,2020-11-03 14:30:00,75.0,107.0,78.0,141.0
177,2020-11-03 14:45:00,75.0,108.5,77.0,154.0
178,2020-11-03 15:00:00,77.0,109.0,77.0,154.0
179,2020-11-03 15:15:00,77.0,110.0,77.0,154.0
180,2020-11-03 15:30:00,74.0,103.0,77.0,154.0
181,2020-11-03 16:00:00,71.0,108.0,81.0,159.0
182,2020-11-03 16:30:00,73.0,108.0,81.0,159.0
183,2020-11-03 16:45:00,73.0,108.0,77.0,157.0
184,2020-11-03 17:00:00,73.0,107.0,77.0,157.0
185,2020-11-03 17:15:00,77.0,115.0,77.0,157.0
186,2020-11-03 17:30:00,82.0,120.0,77.0,157.0
187,2020-11-03 17:45:00,84.0,122.0,85.0,188.0
188,2020-11-03 18:15:00,90.0,129.0,85.0,188.0
