created_at,PM2.5,PM10,NO2,CO
28-12-2020 18:00,67.25,141.25,48.4,0.66
28-12-2020 19:00,74,157,68.05,0.97
28-12-2020 20:00,83.25,176.75,81.22,1.3
28-12-2020 21:00,84.25,180,73.85,1.15
28-12-2020 22:00,81.75,174,67.75,1.05
28-12-2020 23:00,75,174.75,69.38,1.1
29-12-2020 00:00,83,177,67,1.1
29-12-2020 01:00,79.25,175.75,65.5,1.08
29-12-2020 02:00,79.5,172.75,59.58,1.04
29-12-2020 03:00,85.5,172.75,43.97,0.77
29-12-2020 04:00,81.5,164.75,38.1,0.65
29-12-2020 05:00,80.75,160.5,37.83,0.6
29-12-2020 06:00,73.75,157.75,30.52,0.58
29-12-2020 07:00,75.25,156,31.65,0.6
29-12-2020 08:00,80.75,162.75,35.77,0.68
29-12-2020 09:00,76.5,170.25,36.57,0.81
29-12-2020 10:00,74.25,183.5,41.33,0.83
29-12-2020 11:00,73.25,174.25,41.77,0.79
29-12-2020 12:00,76.25,159,41.95,0.68
29-12-2020 13:00,74.25,133.5,41.17,0.59
29-12-2020 14:00,74,145.75,40.83,0.54
29-12-2020 15:00,69.75,139.75,40.05,0.51
29-12-2020 16:00,68.75,133.75,40.83,0.51
29-12-2020 17:00,77,137,43.35,0.56
29-12-2020 18:00,77.5,142.25,47.27,0.67
29-12-2020 19:00,81,156.75,51.75,0.76
29-12-2020 20:00,83.5,175.5,50.83,0.83
29-12-2020 21:00,75.5,162.5,48.05,0.8
29-12-2020 22:00,82.5,164.5,46.52,0.81
29-12-2020 23:00,79.75,162.25,41.92,0.72
30-12-2020 00:00,78,152.25,41.35,0.68
30-12-2020 08:00,77.5,150,29.6,0.77
30-12-2020 09:00,80.5,161.25,35.45,0.69
30-12-2020 10:00,81.75,166.25,32.6,0.66
30-12-2020 11:00,82.25,162.25,33.9,0.63
30-12-2020 12:00,83.5,166,36.75,0.64
30-12-2020 13:00,78.75,163.75,37.5,0.61
30-12-2020 14:00,85,150.75,35.25,0.5
30-12-2020 15:00,77.25,133.25,34.72,0.48
30-12-2020 16:00,72,136.5,33.35,0.48
30-12-2020 17:00,72,134.75,34.38,0.58
30-12-2020 18:00,75.25,137,36.23,0.61
30-12-2020 19:00,85.25,154.5,46.8,0.77
30-12-2020 20:00,85.75,177,47.85,0.82
30-12-2020 21:00,82.5,170,44.88,0.68
30-12-2020 22:00,77.5,175,44.23,0.69
30-12-2020 23:00,83.5,170.5,44.85,0.71
31-12-2020 00:00,81,161,42.65,0.59
31-12-2020 01:00,84.75,147.75,42.38,0.62
31-12-2020 02:00,77.25,156,43.52,0.64
31-12-2020 03:00,76.25,161,36.2,0.57
31-12-2020 04:00,80,151.75,32.08,0.57
31-12-2020 05:00,78.75,157.25,31.52,0.43
31-12-2020 06:00,77.5,145.5,29.4,0.41
31-12-2020 07:00,83.25,133.25,31.42,0.4
31-12-2020 08:00,78.75,127.75,32.88,0.43
31-12-2020 09:00,81.5,131.25,31.85,0.5
31-12-2020 10:00,80.25,145.25,30.95,0.47
31-12-2020 11:00,75.75,150,35.62,0.59
31-12-2020 12:00,84.75,151.5,36.55,0.53
31-12-2020 13:00,76.5,155.5,34.3,0.55
31-12-2020 14:00,72,172,33.3,0.5
31-12-2020 15:00,74,144.5,33,0.51
31-12-2020 16:00,79.5,143.5,33.45,0.49
31-12-2020 17:00,76.75,146.25,34.75,0.54
31-12-2020 18:00,75.5,149.75,37.2,0.6
31-12-2020 19:00,81.75,152,43.55,0.76
31-12-2020 20:00,79,166.75,53.05,0.93
31-12-2020 21:00,83.25,181,53.38,1
31-12-2020 22:00,86.5,172.25,57.05,1.05
31-12-2020 23:00,85.25,173.75,54.17,1.05
01-01-2021 00:00,86,176,52.22,1.12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
