,created_at,pm25,pm10,rh,temp
102,2020-11-02 02:00:00,64.2,71.3,53.65,27.25
103,2020-11-02 02:15:00,64.7,71.6,52.57,27.17
104,2020-11-02 02:30:00,63.7,70.7,53.91,27.25
105,2020-11-02 02:45:00,68.3,75.8,54.52,27.12
106,2020-11-02 03:00:00,110.2,123.4,54.61,26.95
107,2020-11-02 03:15:00,98.1,109.7,55.42,27.02
108,2020-11-02 03:30:00,106.0,118.0,56.18,26.87
109,2020-11-02 03:45:00,107.0,118.7,56.61,26.68
110,2020-11-02 04:00:00,109.0,121.7,57.67,26.49
111,2020-11-02 04:15:00,111.6,123.9,58.25,26.33
112,2020-11-02 04:30:00,103.3,115.1,58.65,26.3
113,2020-11-02 04:45:00,104.3,116.5,58.92,26.18
114,2020-11-02 05:00:00,104.5,115.6,59.06,26.11
115,2020-11-02 05:15:00,109.7,121.5,59.26,25.98
116,2020-11-02 05:30:00,105.0,115.9,59.47,25.9
117,2020-11-02 05:45:00,103.8,114.5,59.38,25.94
118,2020-11-02 06:00:00,100.6,111.3,59.32,25.99
119,2020-11-02 06:15:00,105.7,116.6,59.55,26.03
120,2020-11-02 06:30:00,105.4,116.1,60.11,25.99
121,2020-11-02 06:45:00,104.4,115.6,60.86,26.01
122,2020-11-02 07:00:00,107.2,119.0,60.75,26.36
123,2020-11-02 07:15:00,95.8,105.8,59.18,26.66
124,2020-11-02 07:30:00,105.2,115.7,58.83,27.02
125,2020-11-02 07:45:00,101.1,111.4,57.93,27.59
126,2020-11-02 08:00:00,95.4,104.9,56.53,28.12
127,2020-11-02 08:15:00,80.9,89.2,52.03,28.25
128,2020-11-02 08:30:00,88.4,97.7,49.64,28.49
129,2020-11-02 08:45:00,92.3,101.8,49.25,28.89
130,2020-11-02 09:00:00,93.0,103.0,50.07,29.32
131,2020-11-02 09:15:00,89.2,99.2,47.5,29.65
132,2020-11-02 09:30:00,77.0,85.4,45.9,30.05
133,2020-11-02 09:45:00,57.9,63.7,42.44,30.64
134,2020-11-02 10:00:00,55.0,60.8,42.94,31.08
135,2020-11-02 10:15:00,54.7,60.3,41.33,31.56
136,2020-11-02 10:30:00,53.3,59.0,40.27,31.61
137,2020-11-02 10:45:00,55.3,60.7,40.27,32.1
138,2020-11-02 11:00:00,53.5,59.0,39.88,32.84
139,2020-11-02 11:15:00,52.8,58.1,38.48,33.08
140,2020-11-02 11:30:00,47.7,52.7,38.79,32.89
141,2020-11-02 11:45:00,45.1,49.4,36.5,33.57
142,2020-11-02 12:00:00,44.4,49.0,36.24,33.46
143,2020-11-02 12:15:00,44.9,49.6,35.74,34.14
144,2020-11-02 12:30:00,42.4,46.4,36.14,34.96
145,2020-11-02 12:45:00,40.3,44.3,34.99,35.26
146,2020-11-02 13:00:00,38.8,42.5,34.62,35.66
147,2020-11-02 13:15:00,37.8,41.5,32.53,36.23
148,2020-11-02 13:30:00,34.1,37.5,33.09,36.19
149,2020-11-02 13:45:00,31.4,34.3,32.15,36.01
150,2020-11-02 14:00:00,33.2,36.6,33.14,36.16
151,2020-11-02 14:15:00,32.1,35.2,32.91,36.28
152,2020-11-02 14:30:00,25.7,28.4,32.08,36.53
153,2020-11-02 14:45:00,27.8,30.6,34.15,37.07
154,2020-11-02 15:15:00,29.3,32.1,34.78,37.67
155,2020-11-02 15:30:00,29.5,32.5,36.82,36.21
156,2020-11-02 15:45:00,29.5,32.4,38.0,34.88
157,2020-11-02 16:00:00,28.7,31.4,37.56,35.96
158,2020-11-02 16:15:00,28.9,31.4,37.88,35.88
159,2020-11-02 16:30:00,29.4,32.5,38.18,35.81
160,2020-11-02 16:45:00,31.8,35.0,39.33,34.74
161,2020-11-02 17:00:00,35.0,38.4,40.46,34.17
162,2020-11-02 17:15:00,34.3,38.0,41.19,33.64
163,2020-11-02 17:30:00,38.0,42.0,43.0,32.94
164,2020-11-02 17:45:00,37.0,40.8,43.46,33.03
165,2020-11-02 18:00:00,42.1,46.4,44.82,32.46
166,2020-11-02 18:15:00,43.5,47.7,45.57,32.42
167,2020-11-02 18:30:00,47.4,52.3,46.29,32.1
168,2020-11-02 18:45:00,49.2,54.7,46.51,32.1
169,2020-11-02 19:00:00,54.0,59.7,47.38,32.04
170,2020-11-02 19:15:00,53.6,58.8,48.17,31.75
171,2020-11-02 19:30:00,54.6,60.2,48.69,31.58
172,2020-11-02 19:45:00,56.7,62.4,48.9,31.42
173,2020-11-02 20:00:00,55.6,61.5,49.51,31.23
174,2020-11-02 20:15:00,60.2,66.0,50.4,30.96
